
2022-07-14 10:01:44.788003, <class 'KeyError'>, search_hotels
2022-07-14 10:02:30.253477, <class 'KeyError'>, search_hotels
2022-07-14 10:06:44.508716, <class 'KeyError'>, search_hotels
2022-07-14 10:50:01.725095, <class 'requests.exceptions.ReadTimeout'>, search_city
2022-07-14 14:27:45.724176, <class 'KeyError'>, search_hotels
2022-07-14 14:29:25.974521, <class 'KeyError'>, search_hotels
2022-07-14 14:31:13.596050, <class 'KeyError'>, search_hotels
2022-07-14 14:31:50.150818, <class 'KeyError'>, search_hotels
2022-07-14 14:32:40.938612, <class 'KeyError'>, search_hotels
2022-07-14 14:33:35.394719, <class 'KeyError'>, search_hotels
2022-07-14 14:35:08.499911, <class 'KeyError'>, search_hotels
2022-07-14 14:36:43.454934, <class 'KeyError'>, search_hotels
2022-07-14 14:39:41.906993, <class 'KeyError'>, search_hotels
2022-07-14 14:40:16.371475, <class 'KeyError'>, search_hotels
2022-07-14 14:41:01.775556, <class 'KeyError'>, search_hotels
2022-07-14 14:41:58.614488, <class 'KeyError'>, search_hotels
2022-07-14 14:50:03.366224, <class 'KeyError'>, search_hotels
